id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/756860368,section,relation/4848214,,power,circuit,66000,,,1,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333941,section,relation/4848214,,power,circuit,66000,,,1,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,substation,relation/4848214,,power,circuit,66000,,,1,3,single,,,,,
4848214,2020-07-14T09:25:38Z,3,87967098,Oberaffe,56597,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114138,substation,relation/4848214,,power,circuit,66000,,,1,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341395414,section,relation/4848272,,power,circuit,132000,,,1,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848272,,power,circuit,132000,,,1,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/340753709,sub_station,relation/4848272,,power,circuit,132000,,,1,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848273,,power,circuit,132000,,,1,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342306174,section,relation/4848273,,power,circuit,132000,,,1,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848273,,power,circuit,132000,,,1,3,single,,,,,
4848381,2015-04-29T15:39:50Z,2,30623213,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Bardghat', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318724,section,relation/4848381,,power,circuit,132000,,,1,3,single,,,,,
4848381,2015-04-29T15:39:50Z,2,30623213,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Bardghat', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848381,,power,circuit,132000,,,1,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318723,section,relation/4848382,,power,circuit,132000,,,1,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848382,,power,circuit,132000,,,1,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341713559,sub_station,relation/4848382,,power,circuit,132000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464453,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464449,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341409968,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309115152,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114159,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341470429,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333942,section,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,sub_station,relation/4848934,,power,circuit,66000,,,1,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341464448,section,relation/4848935,,power,circuit,132000,,,1,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341464450,section,relation/4848935,,power,circuit,132000,,,1,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341409968,section,relation/4848935,,power,circuit,132000,,,1,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4848935,,power,circuit,132000,,,1,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341587809,section,relation/4848935,,power,circuit,132000,,,1,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820716,section,relation/4851033,,power,circuit,132000,,,1,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855905,section,relation/4851033,,power,circuit,132000,,,1,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341861719,section,relation/4851033,,power,circuit,132000,,,1,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851033,,power,circuit,132000,,,1,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855906,sub_station,relation/4851033,,power,circuit,132000,,,1,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820718,section,relation/4851034,,power,circuit,132000,,,1,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820717,section,relation/4851034,,power,circuit,132000,,,1,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851034,,power,circuit,132000,,,1,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598390,section,relation/4851034,,power,circuit,132000,,,1,3,single,,,,,
4851034,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598391,sub_station,relation/4851034,,power,circuit,132000,,,1,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820718,section,relation/4851035,,power,circuit,132000,,,1,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851035,,power,circuit,132000,,,1,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820713,section,relation/4851035,,power,circuit,132000,,,1,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598391,sub_station,relation/4851035,,power,circuit,132000,,,1,3,single,,,,,
